,Index,Organism,Species,Type (Viral),Enveloped (Viral),Strain,Medium,Medium (specific),wavelength [nm],Light source,k1 [cm2/mJ],k2 [cm2/mJ],% resistant,Log-reduction dose [mJ/cm2],,k1 error,k2 error,Ref,Full Citation
,11,Bacteria,Bacillis subtilis,,,PS533,Liquid,PBS,222,,0.56,,,4.09,,,,46,"Taylor W, Camilleri E, Craft DL, Korza G, Granados MR, Peterson J, Szczpaniak R, Weller SK, Moeller R, Douki T, Mok WWK,Setlow P.DNA Damage Kills Bacterial Spores and Cells Exposed to222-Nanometer UV Radiation. Appl Environ Microbiol. 202004;86(8).DOI: 10.1128/AEM.03039-19"
,12,Bacteria,Bacillis subtilis,,,NCIMB3610,Liquid,Ringer,222,,0.16,,,14.39,,,,45,"Matafonova GG, Batoev VB, Astakhova SA, Gómez M, Christofi N. Efficiency of KrCl excilamp (222nm) for inactivation of bacteria in suspension. Lett Appl Microbiol. 2008 Dec;47(6):508-13.DOI:10.1111/j.1472-765X.2008.02461.x"
,13,Bacteria,Bacillis subtilis,,,DSM10,Liquid,-,254,,1.06,,,2.17,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,14,Bacteria,Bacillis subtilis,,,PS533,Liquid,PBS,254,,0.37,,,6.26,,,,46,"Taylor W, Camilleri E, Craft DL, Korza G, Granados MR, Peterson J, Szczpaniak R, Weller SK, Moeller R, Douki T, Mok WWK,Setlow P.DNA Damage Kills Bacterial Spores and Cells Exposed to222-Nanometer UV Radiation. Appl Environ Microbiol. 202004;86(8).DOI: 10.1128/AEM.03039-19"
,15,Bacteria,Clostridium sporogenes,,,JCM1461,Liquid,PBS,222,,0.80,,,2.87,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,16,Bacteria,Clostridium sporogenes,,,JCM1461,Liquid,PBS,254,,0.49,,,4.69,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,17,Bacteria,Deinococcus radiodurans,,,DSM20539,Liquid,-,222,,0.08,,,28.97,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,18,Bacteria,Deinococcus radiodurans,,,ATCC13939,Liquid,-,222,,0.08,,,30.33,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,19,Bacteria,Deinococcus radiodurans,,,DSM20539,Liquid,-,254,,0.04,,,55.76,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,20,Bacteria,Deinococcus radiodurans,,,ATCC13939,Liquid,-,254,,0.04,,,56.67,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,21,Bacteria,Enterococcus faecalis,,,DSM2570,Liquid,-,222,,0.25,,,9.14,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,22,Bacteria,Enterococcus faecalis,,,DSM2570,Liquid,-,254,,0.38,,,6.03,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,23,Bacteria,Enterococcus faecalis,,,VRE,Surface,-,222,,0.30,,,7.59,,,,47,"Nerandzic MM, Cadnum JL, Eckart KE, Donskey CJ. Evaluation of a hand-held far-ultraviolet radiation device for decontamination of Clostridium difficile and other healthcare-associated pathogens. BMC Infect Dis. 2012 May;12:120.DOI:10.1186/1471-2334-12-120"
,41,Bacteria,Escherichia coli,,,OH157:H7 acid-adapted,Liquid,apple juice,222,,0.01,,,361.46,,,,53,"Kang JW, Kang DH. Increased Resistanceof Serovar Typhimuriumand O157:H7 to 222-Nanometer Krypton-Chlorine Excilamp Treatment by Acid Adaptation. Appl Environ Microbiol. 201903;85(6).DOI: 10.1128/AEM.02221-18"
,40,Bacteria,Escherichia coli,,,OH157:H7,Liquid,apple juice,222,,0.01,,,204.74,,,,53,"Kang JW, Kang DH. Increased Resistanceof Serovar Typhimuriumand O157:H7 to 222-Nanometer Krypton-Chlorine Excilamp Treatment by Acid Adaptation. Appl Environ Microbiol. 201903;85(6).DOI: 10.1128/AEM.02221-18"
,81,Bacteria,Escherichia coli,,,0157:H7,Surface,seed,254,,0.01,,,182.52,,,,57,"Kang JW, Lee JI, Jeong SY, Kim YM, Kang DH. Effect of 222-nm krypton-chloride excilamp treatment on inactivation of Escherichia coli O157:H7 and Salmonella Typhimuriumon alfalfa seeds and seed germination. Food Microbiol. 2019 Sep;82:171-6. DOI:10.1016/j.fm.2019.01.019"
,76,Bacteria,Escherichia coli,,,0157:H7,Surface,apple,222,,0.01,,,164.18,,,,58,"Kang JW, Kang DH. Decontamination Effect of the Spindleand 222-Nanometer Krypton-Chlorine Excimer Lamp Combination against Pathogens on Apples( Borkh.) and Bell Peppers ( L.).Appl Environ Microbiol. 2019 06;85(12).DOI:10.1128/AEM.00006-19"
,77,Bacteria,Escherichia coli,,,0157:H7,Surface,bell pepper,222,,0.02,,,133.78,,,,58,"Kang JW, Kang DH. Decontamination Effect of the Spindleand 222-Nanometer Krypton-Chlorine Excimer Lamp Combination against Pathogens on Apples( Borkh.) and Bell Peppers ( L.).Appl Environ Microbiol. 2019 06;85(12).DOI:10.1128/AEM.00006-19"
,71,Bacteria,Escherichia coli,,,ATCC8739,Liquid,apple juice,254,,0.02,,,115.85,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,70,Bacteria,Escherichia coli,,,ATCC11229,Liquid,apple juice,254,,0.02,,,101.06,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,75,Bacteria,Escherichia coli,,,0157:H7,Surface,seed,222,,0.02,,,94.22,,,,57,"Kang JW, Lee JI, Jeong SY, Kim YM, Kang DH. Effect of 222-nm krypton-chloride excilamp treatment on inactivation of Escherichia coli O157:H7 and Salmonella Typhimuriumon alfalfa seeds and seed germination. Food Microbiol. 2019 Sep;82:171-6. DOI:10.1016/j.fm.2019.01.019"
,68,Bacteria,Escherichia coli,,,0157Dm3Na,Liquid,apple juice,254,,0.03,,,87.56,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,67,Bacteria,Escherichia coli,,,0103:H2,Liquid,apple juice,254,,0.03,,,86.36,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,69,Bacteria,Escherichia coli,,,ATCC11775,Liquid,apple juice,254,,0.03,,,82.61,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,63,Bacteria,Escherichia coli,,,0157:H7,Liquid,apple juice,254,,0.03,,,78.1,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,42,Bacteria,Escherichia coli,,,0157:H7,Liquid,apple juice,222,,0.03,,,66.67,,,,54,"Orlowska M, Koutchma T, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,49,Bacteria,Escherichia coli,,,ATCC11229,Liquid,apple juice,222,,0.03,,,66.67,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,279,Virus,Influenza virus,ssRNA-,Yes,Melbourne,Liquid,PBS,254,250 watt (Uviarc type UA-2) mercury vapor lamp,0.02,,,136.99,,,,84,"Powell WF, Setlow RB. The effect of monochromatic ultraviolet radiation on the interfering property of influenza virus. Virology.1956;2:337-43. DOI: 10.1016/0042-6822(56)90028-9"
,46,Bacteria,Escherichia coli,,,0103:H2,Liquid,apple juice,222,,0.04,,,61.8,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,48,Bacteria,Escherichia coli,,,ATCC11775,Liquid,apple juice,222,,0.04,,,57.59,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,44,Bacteria,Escherichia coli,,,026:H11,Liquid,apple juice,222,,0.04,,,55.56,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,65,Bacteria,Escherichia coli,,,026:H11,Liquid,apple juice,254,,0.04,,,52.49,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,64,Bacteria,Escherichia coli,,,0111:NM,Liquid,apple juice,254,,0.05,,,48.97,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,47,Bacteria,Escherichia coli,,,157:Dm3Na,Liquid,apple juice,222,,0.05,,,47.01,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,45,Bacteria,Escherichia coli,,,O145:NM,Liquid,apple juice,222,,0.05,,,41.98,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,66,Bacteria,Escherichia coli,,,0145:NM,Liquid,apple juice,254,,0.06,,,40.08,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,43,Bacteria,Escherichia coli,,,0111:NM,Liquid,apple juice,222,,0.06,,,38.87,,,,54,"Orlowska M, KoutchmaT, Kostrzynska M, Tang J. Surrogate organisms for pathogenicO157:H7 and non-O157 Escherichiacoli strains for apple juice treatments by UV-C light at three monochromatic wavelengths. Food Control. 2015;47:647-55.DOI: 10.1016/j.foodcont.2014.08.004"
,79,Bacteria,Escherichia coli,,,-,Surface,agar,222,,0.07,,,32.89,,,,59,"Sosnin EA, Lavrent’eva LV, Erofeev MV, Masterova YV, Kuznetzova EN, Tarasenko VF. New bactericidal UV light sources: excilamps. In: Tarasenko VF, editor. Proceedings SPIE 5483, Atomic and Molecular Pulsed Lasers, 15-19 September 2003 Tomsk, Russian Federation; 2004.p.317-22.DOI:10.1117/12.563017"
,78,Bacteria,Escherichia coli,,,K12 ATCC25922,Surface,agar,222,,0.11,,,21.62,,,,10,"Sosnin EA, Stoffels E, Erofeev MV, Kieft IE, Kunts SE. The Effects of UV Irradiationand Gas Plasma Treatment on Living Mammalian Cells and Bacteria: A Comparative Approach. IEEE Trans PlasmaSci. 2004;32:1544-50. DOI: 10.1109/TPS.2004.83340"
,29,Bacteria,Escherichia coli,,,DSM9494,Liquid,NaCl sol .,222,,0.17,,,13.8,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,24,Bacteria,Escherichia coli,,,K12AB1157,Liquid,-,216,,0.19,,,11.86,,,,48,"Gurzadyan GG, Görner H, Schulte-Frohlinde D. Ultraviolet (193,216 and 254 nm) photoinactivation of Escherichiacoli strainswith different repairdeficiencies.RadiatRes. 1995Mar;141(3):244-51"
,50,Bacteria,Escherichia coli,,,0157:H7 EDL933,Liquid,bovine milk,222,,0.28,,,8.33,,,,55,"Yin F, Zhu Y, KoutchmaT, Gong J. Inactivation and potential reactivation of pathogenic Escherichia coli O157:H7 in bovine milk exposed to three monochromatic ultraviolet UVC lights. Food Microbiol. 2015 Aug;49:74-81. DOI: 10.1016/j.fm.2015.01.014"
,72,Bacteria,Escherichia coli,,,0157:H7 EDL933,Liquid,bovine milk,254,,0.34,,,6.78,,,,55,"Yin F, Zhu Y, KoutchmaT, Gong J. Inactivation and potential reactivation of pathogenic Escherichia coli O157:H7 in bovine milk exposed to three monochromatic ultraviolet UVC lights. Food Microbiol. 2015 Aug;49:74-81. DOI: 10.1016/j.fm.2015.01.014"
,58,Bacteria,Escherichia coli,,,DSM9494,Liquid,NaCl sol .,254,,0.40,,,5.75,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,53,Bacteria,Escherichia coli,,,K12AB1157,Liquid,-,254,,0.45,,,5.12,,,,48,"Gurzadyan GG, Görner H, Schulte-Frohlinde D. Ultraviolet (193, 216 and 254 nm) photo inactivation of Escherichiacoli strains with different repair deficiencies. RadiatRes. 1995Mar;141(3):244-51"
,73,Bacteria,Escherichia coli,,,-,Surface,agar,207,,0.54,,,4.29,,,,10,"Sosnin EA, Stoffels E, Erofeev MV, Kieft IE, Kunts SE. The Effects of UV Irradiationand Gas Plasma Treatment on Living Mammalian Cells and Bacteria: A Comparative Approach. IEEE Trans PlasmaSci. 2004;32:1544-50. DOI: 10.1109/TPS.2004.83340"
,51,Bacteria,Escherichia coli,,,-,Liquid,-,230,,0.63,,,3.67,,,,56,Gates FL. A study of the bactericidala ctionof ultra violet light: III. the absorption of ultra violet light by bacteria. J Gen Physiol.1930 Sep;14(1):31-42. DOI: 10.1085/jgp.14.1.31
,52,Bacteria,Escherichia coli,,,-,Liquid,-,254,,0.66,,,3.5,,,,56,Gates FL. A study of the bactericidala ctionof ultra violet light: III. the absorption of ultra violet light by bacteria. J Gen Physiol.1930 Sep;14(1):31-42. DOI: 10.1085/jgp.14.1.31
,31,Bacteria,Escherichia coli,,,DSM9496,Liquid,NaCl sol .,222,,0.83,,,2.76,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,60,Bacteria,Escherichia coli,,,DSM9496,Liquid,NaCl sol .,254,,0.83,,,2.76,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,36,Bacteria,Escherichia coli,,,ATCC11229,Liquid,NaCl sol .,222,,0.87,,,2.65,,,,51,"Clauss M, Mannesmann R, Kolch A. Photoreactivation of Escherichia coli and Yersinia enterolytica after Irradiation with a 222 nm Excimer Lamp Compared to a 254 nm Low-pressure Mercury Lamp. Acta Hydrochim Hydrobiol. 2005;33:579-84.DOI:10.1002/aheh.20040060"
,35,Bacteria,Escherichia coli,,,0157:H7/NCTC12900,Liquid,Ringer,222,,0.91,,,2.53,,,,45,"Matafonova GG, Batoev VB, Astakhova SA, Gómez M, Christofi N. Efficiency of KrCl excilamp (222nm) for inactivation of bacteria in suspension. Lett Appl Microbiol. 2008 Dec;47(6):508-13.DOI:10.1111/j.1472-765X.2008.02461.x"
,37,Bacteria,Escherichia coli,,,ATCC11229,Liquid,-,222,,0.93,,,2.48,,,,52,"Raeiszadeh M, Taghipour F. Inactivation of microorganisms by newly emerged microplasma UV lamps. Chemical Engineering Journal.2020:127490. DOI: 10.1016/j.cej.2020.127490"
,33,Bacteria,Escherichia coli,,,EHEC,Liquid,PBS,222,,0.96,,,2.41,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,28,Bacteria,Escherichia coli,,,DSM1103,Liquid,-,222,,1.10,,,2.1,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,80,Bacteria,Escherichia coli,,,0157:H7,Surface,cheese,254,,1.17,,,1.96,,,,50,"Ha JW, Lee JI, Kang DH. Application of a 222-nm krypton-chlorine excilamp to control foodborne pathogens on sliced cheese surfaces and characterization of the bactericidal mechanisms. Int J Food Microbiol. 2017 Feb; 243:96-102. DOI:10.1016/j.ijfoodmicro. 2016.12.005"
,61,Bacteria,Escherichia coli,,,DSM9497,Liquid,NaCl sol .,254,,1.25,,,1.84,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,62,Bacteria,Escherichia coli,,,ATCC11229,Liquid,NaCl sol .,254,,1.33,,,1.73,,,,51,"Clauss M, Mannesmann R, Kolch A. Photoreactivation of Escherichia coli and Yersinia enterolytica after Irradiation with a 222 nm Excimer Lamp Compared to a 254 nm Low-pressure Mercury Lamp. Acta Hydrochim Hydrobiol. 2005;33:579-84.DOI:10.1002/aheh.20040060"
,32,Bacteria,Escherichia coli,,,DSM9497,Liquid,NaCl sol .,222,,1.43,,,1.61,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,30,Bacteria,Escherichia coli,,,DSM9495,Liquid,NaCl sol .,222,,1.54,,,1.5,,,,49,"Clauss M, Grotjohann N. Comparative mutagenesis of Escherichia coli strains with different repair deficiencies irradiated with 222-nm and 254-nm ultraviolet light. Mutat Res. 2009 Mar;673(2):83-6. DOI: 10.1016/j.mrgentox.2008.11.015"
,74,Bacteria,Escherichia coli,,,0157:H7,Surface,cheese,222,,1.78,,,1.29,,,,50,"Ha JW, Lee JI, Kang DH. Application of a 222-nm krypton-chlorine excilamp to control foodborne pathogens on sliced cheese surfaces and characterization of the bactericidal mechanisms. Int J Food Microbiol. 2017 Feb; 243:96-102. DOI:10.1016/j.ijfoodmicro. 2016.12.005"
,57,Bacteria,Escherichia coli,,,DSM1103,Liquid,-,254,,2.37,,,0.97,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,25,Bacteria,Escherichia coli,,,K12AB1886,Liquid,-,216,,2.48,,,0.93,,,,48,"Gurzadyan GG, Görner H, Schulte-Frohlinde D. Ultraviolet (193,216 and 254 nm) photoinactivation of Escherichiacoli strainswith different repairdeficiencies.RadiatRes. 1995Mar;141(3):244-51"
